0taskID beam field RA Dec  Good noise bmaj bmin bpa
190410001 08 M0155+33 27.2889600 33.3269400 0 35.7 25.43 11.47 -0.31
190410001 09 M0155+33 27.8488950 33.3325950 0 29.0 25.48 11.46 -0.28
190410001 10 M0155+33 28.4090170 33.3357380 0 27.5 25.51 11.44 -0.25
190410001 11 M0155+33 28.9692190 33.3363660 0 27.6 25.46 11.46 -0.24
190410001 12 M0155+33 29.5293950 33.3344800 0 29.4 25.40 11.49 -0.23
190410001 13 M0155+33 30.0894370 33.3300810 0 32.4 25.38 11.48 -0.21
190410001 14 M0155+33 30.6492380 33.3231710 0 45.4 25.41 11.46 -0.16
190410001 15 M0155+33 27.5629120 33.7353080 0 31.6 25.17 11.52 -0.30
190410001 17 M0155+33 28.6884490 33.7416910 0 27.0 25.24 11.48 -0.23
190410001 19 M0155+33 29.8140950 33.7378610 0 30.5 25.17 11.55 -0.23
190410001 20 M0155+33 30.3766880 33.7321180 0 35.3 25.20 11.49 -0.20
190410001 21 M0155+33 27.2742630 34.1373150 1 33.1 25.05 11.51 -0.30
190410001 22 M0155+33 27.8395380 34.1431470 0 28.3 25.03 11.57 -0.31
190410001 23 M0155+33 28.4050060 34.1463880 0 27.1 24.92 11.58 -0.28
190410001 24 M0155+33 28.9705560 34.1470360 0 27.1 24.97 11.51 -0.23
190410001 25 M0155+33 29.5360790 34.1450910 0 28.3 24.89 11.53 -0.25
190410001 26 M0155+33 30.1014640 34.1405550 0 29.6 24.83 11.54 -0.24
190410001 27 M0155+33 27.5507700 34.5457810 1 30.7 24.63 11.58 -0.31
190410001 28 M0155+33 28.1188650 34.5503870 1 30.2 24.71 11.53 -0.27
190410001 29 M0155+33 28.6871000 34.5523610 0 26.3 24.61 11.55 -0.27
190410001 30 M0155+33 29.2553620 34.5517030 0 27.5 24.62 11.56 -0.27
190410001 31 M0155+33 29.8235410 34.5484120 1 29.1 24.59 11.58 -0.25
190410001 32 M0155+33 30.3915250 34.5424920 0 34.2 24.61 11.55 -0.21
190410001 33 M0155+33 27.2592840 34.9476080 0 34.6 24.50 11.55 -0.32
190410001 34 M0155+33 27.8300020 34.9536170 1 33.0 24.43 11.58 -0.30
190410001 35 M0155+33 28.4009180 34.9569570 0 31.0 24.42 11.59 -0.30
190410001 36 M0155+33 28.9719190 34.9576250 0 30.0 24.42 11.60 -0.28
190410001 37 M0155+33 29.5428920 34.9556210 1 29.6 24.39 11.59 -0.26
190410001 38 M0155+33 30.1137230 34.9509460 0 34.9 24.35 11.60 -0.26
190410001 39 M0155+33 30.6843000 34.9436040 0 42.4 24.38 11.57 -0.22
190411001 00 S2246+38 341.6000000 38.8088890 0 25.4 22.53 11.73  0.30
190411001 01 S2246+38 339.6759590 37.7799780 1 41.4 23.02 11.63  0.24
190411001 02 S2246+38 340.2677110 37.7881230 0 29.6 23.01 11.67  0.21
190411001 03 S2246+38 340.8597470 37.7933090 0 29.6 23.01 11.67  0.25
190411001 04 S2246+38 341.4519420 37.7955320 0 27.4 23.01 11.67  0.28
190411001 05 S2246+38 342.0441670 37.7947910 1 31.8 23.18 11.78  0.31
190411001 06 S2246+38 342.6362990 37.7910860 1 28.1 23.07 11.69  0.34
190411001 07 S2246+38 343.2282080 37.7844200 0 33.7 23.05 11.66  0.37
190411001 08 S2246+38 339.9626110 38.1895180 0 33.2 22.82 11.69  0.16
190411001 09 S2246+38 340.5578560 38.1962840 0 29.9 22.85 11.71  0.23
190411001 10 S2246+38 341.1533270 38.2000440 1 27.4 22.85 11.71  0.25
190411001 11 S2246+38 341.7488940 38.2007960 1 26.7 22.88 11.72  0.30
190411001 12 S2246+38 342.3444290 38.1985400 0 27.7 22.87 11.72  0.33
190411001 13 S2246+38 342.9398030 38.1932760 0 29.6 22.90 11.71  0.38
190411001 14 S2246+38 343.5348880 38.1850100 0 38.5 22.91 11.71  0.39
190411001 15 S2246+38 340.2525980 38.5984900 0 29.9 22.62 11.72  0.21
190411001 17 S2246+38 341.4502610 38.6061200 0 27.0 22.70 11.74  0.27
190411001 19 S2246+38 342.6480550 38.6015420 1 29.2 22.73 11.76  0.36
190411001 20 S2246+38 343.2466740 38.5946770 0 33.3 22.71 11.74  0.40
190411001 21 S2246+38 339.9439340 38.9998550 1 33.2 22.48 11.76  0.05
190411001 22 S2246+38 340.5459650 39.0068200 0 27.0 22.42 11.75  0.21
190411001 23 S2246+38 341.1482290 39.0106910 0 25.6 22.43 11.74  0.23
190411001 24 S2246+38 341.7505930 39.0114650 0 26.5 22.44 11.74  0.30
190411001 25 S2246+38 342.3529230 39.0091420 0 26.8 22.48 11.76  0.32
190411001 26 S2246+38 342.9550870 39.0037240 1 29.8 22.49 11.76  0.38
190411001 27 S2246+38 340.2371390 39.4089370 1 29.3 22.24 11.76  0.04
190411001 28 S2246+38 340.8427560 39.4144330 0 36.9 22.29 11.79  0.14
190411001 29 S2246+38 341.4485430 39.4167900 0 59.3 22.34 11.80  0.43
190411001 30 S2246+38 342.0543630 39.4160040 1 36.5 22.68 11.81  0.23
190411001 31 S2246+38 342.6600820 39.4120770 1 27.8 22.27 11.77  0.38
190411001 32 S2246+38 343.2655640 39.4050120 0 32.5 22.26 11.77  0.43
190411001 33 S2246+38 339.9248270 39.8101070 1 34.3 22.05 11.79  0.00
190411001 34 S2246+38 340.5338000 39.8172740 0 29.6 22.11 11.81 -0.06
190411001 35 S2246+38 341.1430140 39.8212570 0 44.3 22.15 11.78  1.04
190411001 36 S2246+38 341.7523310 39.8220540 0 43.8 22.19 11.82  0.34
190411001 37 S2246+38 342.3616140 39.8196640 1 28.3 22.06 11.80  0.37
190411001 38 S2246+38 342.9707250 39.8140880 1 30.6 22.08 11.79  0.42
190411001 39 S2246+38 343.5795260 39.8053320 1 37.7 22.08 11.79  0.46
190411042 00 S1415+36 213.9708330 36.3766670 1 32.7 24.26 11.61 -0.13
190411042 01 S1415+36 212.1064310 35.3490850 1 54.0 24.98 11.49  0.06
190411042 02 S1415+36 212.6798560 35.3565380 1 39.3 24.83 11.55 -0.19
190411042 03 S1415+36 213.2535400 35.3612830 0 36.7 24.84 11.54 -0.15
190411042 04 S1415+36 213.8273670 35.3633180 1 37.7 24.83 11.53 -0.23
190411042 05 S1415+36 214.4012230 35.3626400 0 42.0 25.27 11.76 -0.37
190411042 06 S1415+36 214.9749930 35.3592490 1 38.8 24.85 11.55 -0.38
190411042 07 S1415+36 215.5485620 35.3531490 1 43.1 24.85 11.54 -0.30
190411042 08 S1415+36 212.3849500 35.7582580 1 44.1 24.61 11.58 -0.18
190411042 09 S1415+36 212.9614810 35.7644510 1 36.7 24.57 11.58 -0.17
190411042 10 S1415+36 213.5382170 35.7678930 1 35.6 24.63 11.59 -0.12
190411042 11 S1415+36 214.1150410 35.7685820 0 33.4 24.62 11.58 -0.19
190411042 12 S1415+36 214.6918350 35.7665160 1 37.4 24.61 11.58 -0.32
190411042 13 S1415+36 215.2684830 35.7616980 1 37.0 24.61 11.58 -0.37
190411042 14 S1415+36 215.8448690 35.7541310 1 51.9 24.60 11.57 -0.31
190411042 15 S1415+36 212.6664400 36.1669190 1 38.8 24.34 11.62 -0.20
190411042 17 S1415+36 213.8258760 36.1739060 1 33.6 24.58 11.71 -0.16
190411042 19 S1415+36 214.9854300 36.1697140 1 38.4 24.45 11.67 -0.19
190411042 20 S1415+36 215.5649550 36.1634270 1 44.5 24.45 11.66 -0.28
190411042 21 S1415+36 212.3683860 36.5686160 0 45.5 24.17 11.69 -0.28
190411042 22 S1415+36 212.9509360 36.5749960 0 38.1 24.15 11.64 -0.16
190411042 23 S1415+36 213.5336960 36.5785420 1 34.6 24.11 11.64 -0.14
190411042 24 S1415+36 214.1165480 36.5792510 1 34.6 24.14 11.63 -0.13
190411042 25 S1415+36 214.6993690 36.5771240 1 34.2 24.16 11.64 -0.17
190411042 26 S1415+36 215.2820390 36.5721600 1 38.3 24.15 11.64 -0.11
